,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Run Iteration,Inhib App Time Average,Inhib MPI Time Average,Inhib Total Messages Sent,Inhib Total Bytes Sent
505,8,20000,1000,0.5,2,360.0,337.54464285714283,1097248768,21900000000000.0
506,8,40000,100000,0.7,0,360.0,144.0,299238016,12000000000000.0
507,8,2000,100000,1.0,2,360.0,244.94419642857142,227290560,455000000000.0
508,8,40000,100000,0.5,2,360.0,113.08035714285714,245159936,9810000000000.0
509,8,4000000,100000,0.1,3,360.0,316.0,8789760,35200000000000.0
510,8,4000,100000,0.5,3,360.0,126.328125,231512064,926000000000.0
511,8,2000000,1000000,0.3,1,361.0,196.0,9905280,19800000000000.0
512,8,400000,1000,0.7,2,360.0,359.625,60997440,24400000000000.0
513,8,4000000,1000,1.0,1,368.0,368.0,7409472,29600000000000.0
514,8,400000,100,0.3,3,360.0,359.0,70117376,28000000000000.0
515,8,400000,10000,0.1,0,360.0,318.0111607142857,81406080,32600000000000.0
516,8,2000,100,0.5,1,360.0,357.08482142857144,330358784,661000000000.0
517,8,2000,1000000,1.0,2,360.0,73.70223214285716,57273216,115000000000.0
518,8,2000000,1000,0.7,2,362.0,361.0,12620160,25200000000000.0
519,8,40000,10000,0.7,1,360.0,305.66517857142856,675739456,27000000000000.0
520,8,400000,0,1.0,3,360.0,360.0,72292416,28900000000000.0
521,8,2000000,100,0.3,0,360.0,360.0,13807360,27600000000000.0
522,8,200000,1000,0.3,2,360.0,355.0,175893760,35200000000000.0
523,8,400000,1000000,1.0,0,362.0,176.0,37247616,14900000000000.0
524,8,40000,1000000,0.7,2,361.0,24.50982142857143,47115264,1880000000000.0
525,8,20000,100,0.7,2,360.0,346.140625,1300998272,26000000000000.0
526,8,4000,100000,0.1,1,360.0,3.377120535714286,71527680,286000000000.0
527,8,2000,0,0.3,2,360.0,355.74107142857144,532904064,1070000000000.0
528,8,2000000,1000,0.1,0,360.0,359.0,18204480,36400000000000.0
529,8,2000,100000,0.7,0,360.0,185.70982142857142,241605952,483000000000.0
530,8,2000000,1000000,1.0,3,365.0,302.0,12616128,25200000000000.0
531,8,4000000,100000,0.3,3,362.0,349.0,8104320,32400000000000.0
532,8,40000,100000,0.1,1,360.0,31.885937499999994,65903040,2640000000000.0
