,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Inhib App Time Average Mean,Inhib App Time Average Median,Inhib App Time Average Std,Inhib MPI Time Average Mean,Inhib MPI Time Average Median,Inhib MPI Time Average Std,Inhib Total Messages Sent Mean,Inhib Total Messages Sent Median,Inhib Total Messages Sent Std,Inhib Total Bytes Sent Mean,Inhib Total Bytes Sent Median,Inhib Total Bytes Sent Std
257,8,4000000,10000,0.1,360.5,360.5,0.577350269189634,354.75,355.0,0.4999999999999952,10978912.0,10850112.0,486911.7013668904,42950000953750.0,42450000943500.0,1884144408274.8362
258,8,4000000,10000,0.3,361.21875,361.4375,0.9263222531423286,359.46875,359.4375,0.5436661812791539,9737280.0,9676800.0,404206.74314019055,38675000288750.0,38450000287000.0,1586137879184.32
259,8,4000000,10000,0.5,362.5,362.5,1.2909944487358056,361.5,361.5,1.2909944487358056,8971200.0,8971200.0,493817.1321450887,35700000159250.0,35700000159000.0,1959591802799.7566
260,8,4000000,10000,0.7,360.75,360.5,0.9574271077563405,360.0,360.0,0.816496580927726,8545824.0,8510656.0,387380.48201391526,34075000109000.0,33950000108500.0,1558578417062.5913
261,8,4000000,10000,1.0,364.25,364.0,2.98607881119482,363.25,363.0,2.98607881119482,8830976.0,8830976.0,366433.6939383894,35200000078850.0,35200000078850.0,1460593489912.006
262,8,4000000,100000,0.1,360.25,360.0,0.5000000000000047,319.25,320.5,2.8722813232690143,8485344.0,8294720.0,476627.29614937777,33225000738000.0,32500000721500.0,1878607681608.9094
263,8,4000000,100000,0.3,361.25,361.5,0.9574271077563405,350.0,349.5,1.4142135623730885,6426000.0,6773760.0,1231947.5625204183,25525000190250.0,26900000200500.0,4895831596673.167
264,8,4000000,100000,0.5,362.75,362.5,0.9574271077563381,355.25,355.0,1.2583057392117973,7333200.0,7358400.0,856800.0,29200000130500.0,29300000131000.0,3400000015196.0786
265,8,4000000,100000,0.7,363.25,363.5,1.7078251276599261,357.25,357.0,1.4999999999999922,8053472.0,8158976.0,729824.267754003,32100000102500.0,32500000103800.0,2923468269084.969
266,8,4000000,100000,1.0,366.0,366.0,1.8257418583505616,362.0,362.0,2.581988897471611,7526400.0,7225344.0,1209786.2651647741,30000000067175.0,28800000064500.0,4822171029476.245
267,8,4000000,1000000,0.1,360.75,361.0,0.5,164.25,165.0,2.217355782608348,4049472.0,4039168.0,35694.103042379465,15825000352000.0,15800000351000.0,125830577364.96329
268,8,4000000,1000000,0.3,361.75,362.0,1.5,266.0,266.5,7.164728420068218,5775840.0,5715360.0,437523.0937904878,22950000170750.0,22700000169000.0,1746424932626.651
269,8,4000000,1000000,0.5,363.75,364.0,1.258305739211786,294.25,295.0,5.188127472091126,7005600.0,6854400.0,476362.2151262629,27900000124250.0,27300000121500.0,1890326259000.4578
270,8,4000000,1000000,0.7,366.25,367.0,2.217355782608345,320.0,319.0,2.7080128015453147,6470912.0,6470912.0,414127.1548626902,25800000082425.0,25800000082400.0,1653279574282.5828
271,8,4000000,1000000,1.0,364.0,364.0,2.943920288775949,329.0,330.5,3.366501646120697,7024640.0,7124992.0,433570.19371108373,28000000062700.0,28400000063600.0,1728197523463.8738
