,App,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,App Time Average Mean,App Time Average Median,App Time Average Std,MPI Time Average Mean,MPI Time Average Median,MPI Time Average Std,Total Messages Sent Mean,Total Messages Sent Median,Total Messages Sent Std,Inhib App Time Average Mean,Inhib App Time Average Median,Inhib App Time Average Std,Inhib MPI Time Average Mean,Inhib MPI Time Average Median,Inhib MPI Time Average Std,Inhib Total Messages Sent Mean,Inhib Total Messages Sent Median,Inhib Total Messages Sent Std
0,amg,8,2000,0,0.3,344.75,345.0,2.217355782608342,16.033811383928573,16.431361607142858,2.1610644651314685,106441449.0,106441449.0,0.0,343.0,343.0,0.0,340.47154017857144,340.4430803571429,0.546467520082296,344508640.0,333627840.0,99106564.07558079
1,amg,8,2000,0,0.5,344.5,343.5,5.066228051190219,14.992176339285713,13.759988839285715,5.0331095119467415,106441449.0,106441449.0,0.0,343.0,343.0,0.0,340.49832589285717,340.99330357142856,0.9989188441623257,384072192.0,309485568.0,188155733.8766152
2,amg,8,2000,0,0.7,343.5,344.0,1.7320508075688772,14.2801171875,15.19515625,2.013789960688887,106441449.0,106441449.0,0.0,343.0,343.0,0.0,340.6802455357143,340.8671875,0.4668875094798363,421197840.0,416535392.0,94893244.33252956
3,amg,8,2000,0,1.0,342.0,341.0,2.7080128015453147,12.3559375,11.118459821428573,3.0021614055549577,106441449.0,106441449.0,0.0,343.0,343.0,0.0,340.3052455357143,340.37834821428567,0.2102118881506321,427146048.0,412927872.0,29243319.067210685
4,amg,8,2000,100,0.3,344.75,344.0,3.0956959368344497,15.783426339285715,14.830937500000001,3.3157370808348587,106441449.0,106441449.0,0.0,343.0,343.0,0.0,339.7466517857143,339.9241071428571,0.9804868005053111,330040928.0,296408000.0,102602496.13665643
5,amg,8,2000,100,0.5,343.6666666666667,342.0,2.8867513459481207,14.722901785714285,12.944196428571429,3.2065747970085763,106441449.0,106441449.0,0.0,343.0,343.0,0.0,340.64285714285717,340.94419642857144,0.557092953637327,294232064.0,249073664.0,85977948.61816473
6,amg,8,2000,100,0.7,344.25,344.5,2.7537852736430484,14.838850446428573,15.002120535714287,2.4490198616069745,106441449.0,106441449.0,0.0,343.0,343.0,0.0,340.0234375,340.25,0.7271294579497051,380427712.0,349368096.0,108554087.56039983
7,amg,8,2000,100,1.0,343.75,343.5,2.0615528128088294,14.34720982142857,14.336763392857144,2.2479348771411414,106441449.0,106441449.0,0.0,343.0,343.0,0.0,339.8772321428571,339.8794642857143,0.14180696584169383,440763456.0,435456672.0,36819159.14243518
8,amg,8,2000,1000,0.3,352.0833333333333,355.125,6.154689946157595,22.086793154761907,24.185848214285716,5.429356461807613,106441449.0,106441449.0,0.0,343.0,343.0,0.0,328.3645833333333,327.09375,4.148645926182818,576467285.3333334,624152704.0,170436909.59468314
9,amg,8,2000,1000,0.5,345.0,345.0,0.0,15.53435825892857,15.483649553571428,0.45928224440385973,106441449.0,106441449.0,0.0,343.0,343.0,0.0,335.2427455357143,335.4866071428571,0.9608130519216632,456425984.0,447419392.0,76748676.65310079
10,amg,8,2000,1000,0.7,342.75,342.5,2.061552812808831,13.588253348214286,13.642979910714285,2.407414241381152,106441449.0,106441449.0,0.0,343.0,343.0,0.0,337.46595982142856,337.6830357142857,1.1889751162389874,372610224.0,359674560.0,86645450.47535764
11,amg,8,2000,1000,1.0,343.3333333333333,343.0,1.5275252316519545,13.932217261904762,13.358035714285714,1.6818422333139789,106441449.0,106441449.0,0.0,343.0,343.0,0.0,337.515625,337.9174107142857,0.7075435147431431,450375744.0,404717376.0,80299659.59496905
12,amg,8,2000,10000,0.1,343.5,343.5,2.1213203435596424,13.750479910714287,13.750479910714287,2.501784829285128,106441449.0,106441449.0,0.0,343.0,343.0,0.0,41.30379464285714,41.30379464285714,1.418948652425685,586121760.0,586121760.0,2038503.997347074
