,Num Nodes,App A,App B,Run Iteration,App A Time Average,App B Time Average,App A MPI Time Average,App B MPI Time Average,App A Total Messages Sent,App B Total Messages Sent,App A Total Bytes Sent,App B Total Bytes Sent
45,8,kripke,quicksilver,2,354.0,291.35714285714283,17.060044642857143,130.36183035714285,302720,762710,388038679360.0,160110400.0
46,8,beatnik,minivite,0,410.29464285714283,373.0,117.14732142857143,54.69486607142857,19996182,24089720,10926550043000.0,1134700459640.0
47,8,fiesta,kripke,2,363.86830357142856,353.0,106.28571428571429,16.75267857142857,645120,302720,1640000000000.0,388038679360.0
48,8,beatnik,lammps,1,406.0,361.0,113.44866071428571,25.12732142857143,19996182,457408,10926550043000.0,670420822000.0
49,1,minivite,fiesta,0,440.0,298.75,26.05857142857143,40.07267857142857,747720,67200,143780111184.0,170600000000.0
50,1,minife,tricount,0,384.4107142857143,282.0,10.578392857142859,51.61428571428571,637048,243320,40726202806.0,2510000237640.0
51,8,minife,lammps,2,384.0,354.0,12.556785714285715,17.09872767857143,6788000,457408,382248662610.0,670420822000.0
52,8,minivite,amg,2,371.0,341.0,53.09508928571428,11.788638392857141,24089720,106441449,1134700459640.0,1008232000000.0
53,8,minife,amg,0,385.0,340.0,13.463348214285714,11.893950892857143,6788000,106441449,382248662610.0,1008232000000.0
54,8,beatnik,laghos,2,407.0,391.0,115.93080357142857,117.74776785714286,19996182,801311390,10926550043000.0,633722271800.0
55,1,minife,fiesta,1,385.0,297.01785714285717,11.180535714285714,36.96035714285715,637048,67200,40726202806.0,170600000000.0
56,8,minivite,minivite,3,378.0,374.0,59.72388392857143,55.425223214285715,24089720,24089720,1134700459640.0,0.0
57,8,lammps,kripke,3,352.0,355.0,16.192366071428573,17.30379464285714,457408,302720,670420822000.0,388038679360.0
58,1,tricount,tricount,0,280.0,280.0,49.621428571428574,49.775,243320,243320,2510000237640.0,0.0
59,8,beatnik,lammps,2,414.75223214285717,353.0,122.6875,17.70252232142857,19996182,457408,10926550043000.0,670420822000.0
60,8,tricount,fiesta,0,387.0,353.3861607142857,212.98660714285714,55.56651785714286,7120960,645120,10200000956600.0,1640000000000.0
